2013.06.18 23:30:56: B
2013.06.18 23:31:04: C
2013.06.18 23:31:43: Idle
2013.06.18 23:31:57: A
2013.06.18 23:32:06: Idle
2013.06.18 23:37:22: B
2013.06.18 23:37:24: Idle
2013.06.18 23:39:42: B
2013.06.18 23:39:45: Idle
2013.06.19 17:56:30: B
2013.06.19 17:56:35: Idle
2013.06.19 22:40:30: A
2013.06.19 22:42:06: Idle
2013.06.19 22:42:57: A
2013.06.19 22:43:17: Idle
2013.06.19 22:44:21: A
2013.06.19 22:44:27: Idle
2013.06.19 22:47:05: B
2013.06.19 22:47:22: Idle
2013.06.19 22:47:44: C
2013.06.19 22:48:01: Idle
2013.06.19 22:48:16: B
2013.06.19 22:48:20: A
2013.06.19 22:48:31: Idle
